"member","variable","h","point","lo90","hi90","origin_date"
"combo_equal","gdp_growth",1,0.552823901252247,-0.383677139618802,1.37393338870969,2026-01-01
"combo_equal","gdp_growth",2,0.555273083882058,-0.381220288424531,1.47087621492729,2026-01-01
"combo_equal","gdp_growth",3,0.610680251107213,-0.522166676783932,1.59777607649193,2026-01-01
"combo_equal","gdp_growth",4,0.623901711893161,-0.516363636363765,1.53822129476658,2026-01-01
"combo_equal","gdp_growth",5,0.620677755975357,-0.35657602506919,1.66748478286293,2026-01-01
"combo_equal","gdp_growth",6,0.633066042855593,-0.396312864258083,1.65248734254289,2026-01-01
"combo_equal","gdp_growth",7,0.612634991946707,-0.358420521332523,1.49262295211963,2026-01-01
"combo_equal","gdp_growth",8,0.617520335025853,-0.376255982892698,1.70617602429843,2026-01-01
"combo_equal","gdp_growth",9,0.662707048500704,-0.433175978966281,1.66163839956769,2026-01-01
"combo_equal","gdp_growth",10,0.639453344446707,-0.544317963450465,1.49315306676403,2026-01-01
"combo_equal","gdp_growth",11,0.622346473725356,-0.518497922831353,1.80480519931816,2026-01-01
"combo_equal","gdp_growth",12,0.635315661363657,-0.430125695656211,1.56140233298124,2026-01-01
"combo_equal","cpi_inflation",1,0.799000883291008,0.488968555041454,1.11323328572584,2026-01-01
"combo_equal","cpi_inflation",2,0.787796382940791,0.435000178519708,1.12075656703363,2026-01-01
"combo_equal","cpi_inflation",3,0.769348285353689,0.369763464411073,1.11103580916918,2026-01-01
"combo_equal","cpi_inflation",4,0.75243168151682,0.359445827287332,1.16190046842946,2026-01-01
"combo_equal","cpi_inflation",5,0.766643283808175,0.371385395456024,1.16943960812376,2026-01-01
"combo_equal","cpi_inflation",6,0.765785891730825,0.368838009185991,1.1554591628259,2026-01-01
"combo_equal","cpi_inflation",7,0.753465372275205,0.344463394881954,1.16746747916077,2026-01-01
"combo_equal","cpi_inflation",8,0.776987556911784,0.374411606394713,1.20396950248095,2026-01-01
"combo_equal","cpi_inflation",9,0.741061428487783,0.345418899437586,1.1474065005552,2026-01-01
"combo_equal","cpi_inflation",10,0.738147706400579,0.339299442347128,1.26577774202274,2026-01-01
"combo_equal","cpi_inflation",11,0.750686207257694,0.296262824628437,1.23153606011811,2026-01-01
"combo_equal","cpi_inflation",12,0.737876086375739,0.237089604660497,1.22744700877774,2026-01-01
"combo_equal","unemp_rate",1,4.25063144406356,3.97194847963531,5.27284773651174,2026-01-01
"combo_equal","unemp_rate",2,4.25777547997022,3.84367349534027,5.03090992191346,2026-01-01
"combo_equal","unemp_rate",3,4.28823364427834,3.71368241426192,5.22014859387321,2026-01-01
"combo_equal","unemp_rate",4,4.30910749302187,3.70937475283252,5.41716670479218,2026-01-01
"combo_equal","unemp_rate",5,4.36907659562571,3.560804767335,5.41428417995468,2026-01-01
"combo_equal","unemp_rate",6,4.38497033192564,3.53868483328557,5.50251742623871,2026-01-01
"combo_equal","unemp_rate",7,4.39564186399304,3.56655712275387,5.6568894775983,2026-01-01
"combo_equal","unemp_rate",8,4.40015161286412,3.38161317025431,5.60172361636356,2026-01-01
"combo_equal","unemp_rate",9,4.39917475793306,3.40924259010482,5.68193007080582,2026-01-01
"combo_equal","unemp_rate",10,4.42568851723616,3.3154131610755,5.76032240375085,2026-01-01
"combo_equal","unemp_rate",11,4.395804623484,3.33498494326348,5.71154984911685,2026-01-01
"combo_equal","unemp_rate",12,4.41917566932643,3.19586993971828,5.81613285053205,2026-01-01
"combo_equal","cash_rate",1,3.90074708174059,3.24974387215799,4.40489915358473,2026-01-01
"combo_equal","cash_rate",2,3.9139722711148,3.1088707554101,4.72784329218716,2026-01-01
"combo_equal","cash_rate",3,3.88924309628225,2.72462044211712,5.06212187524809,2026-01-01
"combo_equal","cash_rate",4,3.79800622941832,2.4293979523875,5.13595646360736,2026-01-01
"combo_equal","cash_rate",5,3.86123724871879,2.37711832009491,5.60409092031898,2026-01-01
"combo_equal","cash_rate",6,3.85375394393609,1.98520056216569,5.70044681797508,2026-01-01
"combo_equal","cash_rate",7,3.81863067768214,1.85172959055359,5.68016394133357,2026-01-01
"combo_equal","cash_rate",8,3.81435137197136,1.74613695048827,5.86959720939977,2026-01-01
"combo_equal","cash_rate",9,3.87747337071956,1.68359811162839,6.25430474337494,2026-01-01
"combo_equal","cash_rate",10,3.7239073339177,1.51962829384788,5.98678006863415,2026-01-01
"combo_equal","cash_rate",11,3.79750446559895,1.20625087382867,6.14797432614931,2026-01-01
