"member","variable","measure","h","logdens_base","crps_base","rmse_base","logdens_2021q3","crps_2021q3","rmse_2021q3","crps_ratio","logdens_diff"
"ar4","cash_rate","q",1,-0.236453755214115,0.160066985393779,0.285297489926576,-0.230840413856997,0.159522763674591,0.278957149690235,0.996600037678918,0.00561334135711769
"ar4","cash_rate","q",10,-2.73002305119373,1.53457924909532,2.31399297204834,-2.74803914357966,1.54099427953552,2.32471842527195,1.00418031877075,-0.0180160923859267
"ar4","cash_rate","q",11,-2.85880248351275,1.63699369003322,2.42512272992221,-2.87527410303136,1.64294631508839,2.43565072314236,1.00363631521087,-0.0164716195186121
"ar4","cash_rate","q",12,-2.92402248586372,1.72441981884661,2.51521177025792,-2.93952128746847,1.73162059392851,2.52671048213639,1.00417576683079,-0.015498801604751
"ar4","cash_rate","q",2,-0.830909359435506,0.317325286710078,0.584000582062513,-0.843642802593662,0.318145571292606,0.578363745531751,1.00258499595488,-0.0127334431581557
"ar4","cash_rate","q",3,-1.22392404953737,0.492169673325393,0.882040124792565,-1.2308600244834,0.492192480594192,0.883178929197409,1.00004634025629,-0.0069359749460296
"ar4","cash_rate","q",4,-1.56116358058849,0.674192740662341,1.16955747129501,-1.56229308237269,0.674786695946906,1.17381377367911,1.00088098736273,-0.00112950178419879
"ar4","cash_rate","q",5,-1.819672270435,0.845722574293083,1.42565332270654,-1.83305658526841,0.847906446149376,1.43275078553347,1.00258225560329,-0.0133843148334065
"ar4","cash_rate","q",6,-2.03929905354089,1.00576041124701,1.65436399866359,-2.06277891928998,1.00966095503856,1.66292461507289,1.00387820374309,-0.0234798657490876
"ar4","cash_rate","q",7,-2.22825497316854,1.15011444273332,1.85019572685117,-2.24778036911758,1.1561537705169,1.86110210938179,1.0052510668149,-0.0195253959490373
"ar4","cash_rate","q",8,-2.41024104736134,1.28715665308573,2.02476587831521,-2.42917436900815,1.2919504165997,2.03528275503048,1.00372430465435,-0.0189333216468106
"ar4","cash_rate","q",9,-2.56669172210256,1.42031381740086,2.18390931861011,-2.58499236724562,1.42531196415358,2.19263622943962,1.00351904395457,-0.0183006451430576
"ar4","cpi_inflation","cum",10,-6.96226840795533,2.00824329220479,2.90040234738391,-8.40714010758774,2.00913345544197,2.90782145624275,1.00044325467967,-1.44487169963241
"ar4","cpi_inflation","cum",11,-7.94419666866839,2.24126451741251,3.14914440025745,-9.36000908573284,2.24231091363594,3.15709297413108,1.00046687761096,-1.41581241706445
"ar4","cpi_inflation","cum",12,-8.36914423275091,2.46519116759758,3.38551391805829,-9.46110827181577,2.46644520567764,3.39372666295649,1.00050869810688,-1.09196403906486
"ar4","cpi_inflation","cum",2,-0.755572579484258,0.299386686777741,0.55877710989043,-0.905812254854303,0.298339789860092,0.55847245275032,0.996503194818323,-0.150239675370045
"ar4","cpi_inflation","cum",3,-1.49554952876906,0.484839871789142,0.870185529023707,-1.68752903798772,0.483108589378464,0.870697014496329,0.996429166594138,-0.191979509218658
"ar4","cpi_inflation","cum",4,-2.57189009608854,0.678527188616766,1.18313828906359,-3.77256429633274,0.677242423486383,1.18514769057114,0.998106538467527,-1.2006742002442
"ar4","cpi_inflation","cum",5,-3.12279441133266,0.880403483778465,1.49071088173326,-4.76150723324142,0.880182461053652,1.49424532445653,0.999748952918877,-1.63871282190876
"ar4","cpi_inflation","cum",6,-3.57314153671891,1.09524363209288,1.79041969974216,-5.34836220510734,1.09630539272214,1.79554695237736,1.00096942871718,-1.77522066838843
"ar4","cpi_inflation","cum",7,-4.16028225536551,1.32587851315005,2.08706933768425,-5.84565932794303,1.32686626986454,2.09265297389443,1.00074498282059,-1.68537707257752
"ar4","cpi_inflation","cum",8,-4.83052980611627,1.55386963294036,2.3693626616323,-6.99340622420893,1.55421275315935,2.37525048145807,1.00022081660631,-2.16287641809266
