"member","variable","measure","h","logdens","crps","rmse"
"combo_crps","gdp_growth","ye",1,-4.62463509841361,0.467945565602524,1.26910272906357
"combo_crps","gdp_growth","ye",10,-1.94591844458636,1.00063354824728,2.13723818300335
"combo_crps","gdp_growth","ye",11,-1.94268208640772,1.00685434940609,2.13712757416419
"combo_crps","gdp_growth","ye",12,-1.93503897206362,0.99362504035106,2.12033211050474
"combo_crps","gdp_growth","ye",2,-1.96901978868829,0.704115871598021,1.75668029560582
"combo_crps","gdp_growth","ye",3,-1.73538981389529,0.829155291850388,2.00461191814555
"combo_crps","gdp_growth","ye",4,-1.84820250686061,0.951555337848538,2.11370561442869
"combo_crps","gdp_growth","ye",5,-1.88325960728763,0.948812670765543,2.06662516117175
"combo_crps","gdp_growth","ye",6,-1.86097168570234,0.958604575833013,2.08244875190802
"combo_crps","gdp_growth","ye",7,-1.88130931759011,0.983114517656503,2.08772897310433
"combo_crps","gdp_growth","ye",8,-1.90745757226927,0.985923172424552,2.12340167668012
"combo_crps","gdp_growth","ye",9,-1.91087997319643,1.00572774512412,2.1738299231155
"combo_crps","unemp_rate","q",1,0.191486645411211,0.126636411831304,0.287990216117648
"combo_crps","unemp_rate","q",10,-1.48088749260078,0.593402597553018,1.05913769566547
"combo_crps","unemp_rate","q",11,-1.49744482542994,0.596599869380474,1.0728714544839
"combo_crps","unemp_rate","q",12,-1.51119555761287,0.612135364940604,1.08280549783428
"combo_crps","unemp_rate","q",2,-0.372029719762567,0.219989581051987,0.46341005541458
"combo_crps","unemp_rate","q",3,-0.738976642762082,0.30899256861465,0.617968421182756
"combo_crps","unemp_rate","q",4,-0.948919808633855,0.373278017451657,0.729732521299309
"combo_crps","unemp_rate","q",5,-1.08449025581738,0.422493517507068,0.821554769329236
"combo_crps","unemp_rate","q",6,-1.20078167652917,0.472345554396647,0.899008505218141
"combo_crps","unemp_rate","q",7,-1.31192947876997,0.518864361238517,0.980753690906071
"combo_crps","unemp_rate","q",8,-1.395349159367,0.551536479191712,1.02123746915221
"combo_crps","unemp_rate","q",9,-1.44483623957649,0.574135736863867,1.04227810344163
"combo_equal","cash_rate","q",1,-0.00490967905700912,0.141923999356462,0.329517911074247
"combo_equal","cash_rate","q",10,-2.19604555340751,1.25595523952882,2.09537387050493
"combo_equal","cash_rate","q",11,-2.27743938119226,1.35374023417299,2.23928089982818
"combo_equal","cash_rate","q",12,-2.34550253365137,1.43043896455153,2.36892004339068
"combo_equal","cash_rate","q",2,-0.621750931887265,0.25770635630933,0.52349329939964
"combo_equal","cash_rate","q",3,-1.00714867653681,0.386827601145997,0.732803178261061
"combo_equal","cash_rate","q",4,-1.30421281112677,0.522690174452403,0.959082056120795
"combo_equal","cash_rate","q",5,-1.53718759707397,0.661736794313988,1.18019637088843
"combo_equal","cash_rate","q",6,-1.72157048749437,0.791340235962967,1.38711381240866
"combo_equal","cash_rate","q",7,-1.8641278292918,0.91232154332781,1.57591414475769
"combo_equal","cash_rate","q",8,-1.98410267040058,1.02455675620321,1.74832352397684
"combo_equal","cash_rate","q",9,-2.10143288569758,1.13159150997559,1.93281466575505
"combo_equal","cpi_inflation","cum",10,-2.53407871014724,1.69807719464429,3.20945951582686
"combo_equal","cpi_inflation","cum",11,-2.69686359711977,1.90319339226975,3.52813016581572
"combo_equal","cpi_inflation","cum",12,-2.86038771389491,2.11218540692862,3.84457167888666
"combo_equal","cpi_inflation","cum",2,-0.44019470820928,0.255173416833584,0.547913505415781
"combo_equal","cpi_inflation","cum",3,-0.856612481204834,0.404659590997564,0.860615949511206
"combo_equal","cpi_inflation","cum",4,-1.17370521205535,0.556138472290932,1.18202094468957
"combo_equal","cpi_inflation","cum",5,-1.42988835404521,0.72244526709859,1.51193497722448
"combo_equal","cpi_inflation","cum",6,-1.65878238141336,0.889697727285372,1.84543949312489
"combo_equal","cpi_inflation","cum",7,-1.90661022994504,1.08728286220214,2.19095264609647
"combo_equal","cpi_inflation","cum",8,-2.13168178938636,1.28729224519471,2.53243489671667
"combo_equal","cpi_inflation","cum",9,-2.35530585948341,1.48912974512257,2.8764858966039
"combo_equal","cpi_inflation","q",1,0.108737157582333,0.133254909817112,0.273035290970975
"combo_equal","cpi_inflation","q",10,-0.568898912975649,0.234629529679421,0.455691948265376
"combo_equal","cpi_inflation","q",11,-0.591059294879916,0.237449333401955,0.452352445047324
"combo_equal","cpi_inflation","q",12,-0.622742465403448,0.241309326083426,0.449530873538385
"combo_equal","cpi_inflation","q",2,0.0222187283872515,0.152482070738464,0.315777012083127
"combo_equal","cpi_inflation","q",3,-0.0576816599010335,0.167844397230352,0.35098282191825
"combo_equal","cpi_inflation","q",4,-0.130033306427598,0.180756544195934,0.374834490348294
"combo_equal","cpi_inflation","q",5,-0.191526748398733,0.193395738479889,0.394982071586422
"combo_equal","cpi_inflation","q",6,-0.297436297488602,0.201639920208204,0.412363713295761
"combo_equal","cpi_inflation","q",7,-0.429225384908315,0.215280984954813,0.433169204693261
"combo_equal","cpi_inflation","q",8,-0.474789043045358,0.218448743513666,0.443432360154895
"combo_equal","cpi_inflation","q",9,-0.527522668726517,0.22988216815027,0.455141052227593
"combo_equal","cpi_inflation","ye",1,0.108737157582333,0.133790249474851,0.273035290970975
"combo_equal","cpi_inflation","ye",10,-1.89613274909451,0.862074128947806,1.69009705925202
"combo_equal","cpi_inflation","ye",11,-1.93458444682123,0.888928221173615,1.71076737134048
"combo_equal","cpi_inflation","ye",12,-1.98006963282286,0.905649700819814,1.71613810233261
"combo_equal","cpi_inflation","ye",2,-0.44019470820928,0.252968664095715,0.547913505415781
