"member","variable","measure","h","logdens","crps","rmse"
"ar4","cash_rate","q",1,-0.226658601196579,0.160915353842417,0.295536054637027
"ar4","cash_rate","q",10,-2.76921658190116,1.54872849089678,2.33693238828681
"ar4","cash_rate","q",11,-2.91665964112537,1.6579466613349,2.45312372290296
"ar4","cash_rate","q",12,-2.97821871651875,1.74405665493233,2.53906679304448
"ar4","cash_rate","q",2,-0.850985852063771,0.327694432595831,0.607731851966561
"ar4","cash_rate","q",3,-1.25623253705278,0.50740069083523,0.907207321950821
"ar4","cash_rate","q",4,-1.5875642778755,0.688022619031079,1.19389178069063
"ar4","cash_rate","q",5,-1.83735581422388,0.85658614916082,1.44901934714532
"ar4","cash_rate","q",6,-2.05801600304919,1.0154488046713,1.676324988623
"ar4","cash_rate","q",7,-2.25052286561222,1.15524447282965,1.86745325433627
"ar4","cash_rate","q",8,-2.432157031554,1.29131123021828,2.04203323725093
"ar4","cash_rate","q",9,-2.59948155433329,1.43041362334373,2.2058974008313
"ar4","cpi_inflation","cum",10,-7.11688270204838,1.99599796758201,2.9426297229252
"ar4","cpi_inflation","cum",11,-8.15928155246156,2.22990913637716,3.1935864428685
"ar4","cpi_inflation","cum",12,-8.57701079148124,2.4515052800049,3.4277224068968
"ar4","cpi_inflation","cum",2,-0.729069367105292,0.299161020051999,0.566628994481666
"ar4","cpi_inflation","cum",3,-1.50315030775839,0.486704843803079,0.887560687214541
"ar4","cpi_inflation","cum",4,-2.60312927964419,0.674974927466289,1.20426390952767
"ar4","cpi_inflation","cum",5,-3.14719871932441,0.865752565589926,1.51143131162022
"ar4","cpi_inflation","cum",6,-3.60859650654603,1.08565265774702,1.82085661269923
"ar4","cpi_inflation","cum",7,-4.19680019627728,1.31693896300097,2.12319685145073
"ar4","cpi_inflation","cum",8,-4.87700699606142,1.54402030988903,2.40868044812837
"ar4","cpi_inflation","cum",9,-6.06213094330085,1.77179662912283,2.68422754931847
"ar4","cpi_inflation","q",1,0.0637603454660739,0.14106545291143,0.27498608032024
"ar4","cpi_inflation","q",10,-4.44620961026525,0.233399197657606,0.404267974035378
"ar4","cpi_inflation","q",11,-4.50766158526072,0.238454124277128,0.408883628087922
"ar4","cpi_inflation","q",12,-3.36760263509691,0.241434625565938,0.408581844686001
"ar4","cpi_inflation","q",2,-0.217274765303133,0.1710694428621,0.327382970837528
"ar4","cpi_inflation","q",3,-0.658286194785406,0.186132582407393,0.353448970153012
"ar4","cpi_inflation","q",4,-0.629424589973554,0.197616428130982,0.370965800298245
"ar4","cpi_inflation","q",5,-0.563555679765242,0.201573293100745,0.37580054700466
"ar4","cpi_inflation","q",6,-1.01825176677514,0.212286169520229,0.386344858017358
"ar4","cpi_inflation","q",7,-1.69903208647331,0.218768177699403,0.389709373477545
"ar4","cpi_inflation","q",8,-2.9913453988946,0.223281839576126,0.394148166944074
"ar4","cpi_inflation","q",9,-4.21289975134582,0.227700658334722,0.397535568520135
"ar4","cpi_inflation","ye",1,0.0637603454660739,0.14106545291143,0.274986080320239
"ar4","cpi_inflation","ye",10,-11.2776198771587,0.912345279372027,1.46041409520612
"ar4","cpi_inflation","ye",11,-11.7427385603152,0.933644520723381,1.47913823200972
"ar4","cpi_inflation","ye",12,-12.061484058462,0.957584525563012,1.49478472549144
"ar4","cpi_inflation","ye",2,-0.729069367105292,0.299161020051999,0.566628994481666
"ar4","cpi_inflation","ye",3,-1.50315030775839,0.486704843803079,0.887560687214541
"ar4","cpi_inflation","ye",4,-2.60312927964419,0.674974927466289,1.20426390952767
"ar4","cpi_inflation","ye",5,-3.412269287883,0.742027272946774,1.30501583507068
"ar4","cpi_inflation","ye",6,-3.40518859535603,0.792528997459867,1.36104240222973
"ar4","cpi_inflation","ye",7,-4.06290158803402,0.83293021548967,1.3989257676137
"ar4","cpi_inflation","ye",8,-6.24019843573211,0.865105101650511,1.42129617012855
"ar4","cpi_inflation","ye",9,-10.5472799475211,0.890106372229418,1.44308474905662
"ar4","gdp_growth","cum",10,-2.45480622281563,1.30340746318996,2.36825423888353
"ar4","gdp_growth","cum",11,-2.36996402603943,1.3599700092101,2.42779754814151
"ar4","gdp_growth","cum",12,-2.40229264659852,1.41219604659616,2.49804920042997
"ar4","gdp_growth","cum",2,-1.01268833636592,0.378608637190475,0.74645306745936
"ar4","gdp_growth","cum",3,-1.29147477359785,0.487671766045707,0.887378685196151
"ar4","gdp_growth","cum",4,-1.50243350846817,0.60659851991831,1.07376934744527
"ar4","gdp_growth","cum",5,-1.89128026660942,0.811823586965785,1.52265347979315
"ar4","gdp_growth","cum",6,-2.38464343726896,1.00367359945712,1.91203829792933
"ar4","gdp_growth","cum",7,-2.34168563247541,1.09729209189667,2.06970449228815
"ar4","gdp_growth","cum",8,-2.42885929743983,1.16749925896325,2.18338332241944
"ar4","gdp_growth","cum",9,-2.40810704178755,1.23314380988434,2.26065947059806
"ar4","gdp_growth","q",1,-0.672838094242376,0.279761682240496,0.611885172204957
"ar4","gdp_growth","q",10,-1.96209555347325,0.302609642826563,0.655575574492042
"ar4","gdp_growth","q",11,-2.57371695812231,0.304267694149886,0.66078561346283
